model,accuracy,precision,recall,f1,average_precision,roc_auc
Prior baseline,0.6848138730251365,0.0,0.0,0.0,0.3151861269748635,0.5
Logistic Regression,0.6499228813206053,0.46763090726274265,0.79962967861394,0.590141532454856,0.6437741560262425,0.7747877123218937
Random Forest,0.7441327275001042,0.6016573796256608,0.5569369131067319,0.578434065934066,0.6818638791351509,0.8089142243685293
